19:52:08.468695 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
19:53:33.770217 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
20:00:31.468904 28:10:7b:1f:3d:31 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 590: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 28:10:7b:1f:3d:31, length 548
20:00:31.571348 28:10:7b:1f:3d:31 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 590: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 28:10:7b:1f:3d:31, length 548
20:15:39.875211 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
20:28:46.725065 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
20:52:08.494408 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
21:28:42.597831 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
21:52:08.351082 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
22:28:42.542555 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
22:30:08.052678 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
22:36:38.218049 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
22:36:38.218622 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
22:36:39.138761 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
22:36:58.083683 78:31:c1:bc:22:e4 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 78:31:c1:bc:22:e4, length 300
